page_id,position,sessions_ai,ai_chatgpt,ai_perplexity,ai_gemini
content_027fbcd0e570b20d,12.008771929824562,9,9,0,0
content_0321705ca9c91a2a,12.008771929824562,9,9,0,0
content_08216b6886773ecf,12.008771929824562,9,9,0,0
content_0a26ffc4c604119b,12.008771929824562,9,9,0,0
content_108c5a1a5a42ef16,12.008771929824562,9,9,0,0
content_1663f3d07330ded2,12.008771929824562,9,9,0,0
content_190cbc72efec2098,12.008771929824562,9,9,0,0
content_39d1546816056b09,12.008771929824562,9,9,0,0
content_308eaac2f5b50f85,12.008771929824562,9,9,0,0
content_2838608bb40f3094,12.008771929824562,9,9,0,0
content_26c7cdcbd770bc90,12.008771929824562,9,9,0,0
content_273842d439a1dc59,12.008771929824562,9,9,0,0
content_26cddec773f08d2c,12.008771929824562,9,9,0,0
content_240efd167bd9c356,12.008771929824562,9,9,0,0
content_2039fb0bed3d9f1f,12.008771929824562,9,9,0,0
content_1ff2423a4f2c7b2f,12.008771929824562,9,9,0,0
content_1ef15203af1b25ee,12.008771929824562,9,9,0,0
content_6041ca057452bcbe,12.008771929824562,9,9,0,0
content_55712a7e32368c92,12.008771929824562,9,9,0,0
content_52cd8781142e37e9,12.008771929824562,9,9,0,0
